timestamp,rpm,vel
2025-06-01 19:14:47,0,0
2025-06-01 19:14:48,946,0
2025-06-01 19:14:48,931,0
2025-06-01 19:14:48,922,0
2025-06-01 19:14:48,920,0
2025-06-01 19:14:48,925,0
2025-06-01 19:14:49,918,0
2025-06-01 19:14:49,922,0
2025-06-01 19:14:49,911,0
2025-06-01 19:14:49,912,0
2025-06-01 19:14:50,924,0
2025-06-01 19:14:50,915,0
2025-06-01 19:14:50,916,0
2025-06-01 19:14:50,920,0
2025-06-01 19:14:50,906,0
2025-06-01 19:14:51,892,0
2025-06-01 19:14:51,887,0
2025-06-01 19:14:51,883,0
2025-06-01 19:14:51,881,0
2025-06-01 19:14:51,900,0
2025-06-01 19:14:52,888,0
2025-06-01 19:14:52,888,0
2025-06-01 19:14:52,883,0
2025-06-01 19:14:52,883,0
2025-06-01 19:14:53,892,0
2025-06-01 19:14:53,881,0
2025-06-01 19:14:53,877,0
2025-06-01 19:14:53,877,0
2025-06-01 19:14:53,868,0
2025-06-01 19:14:54,867,0
2025-06-01 19:14:54,844,0
2025-06-01 19:14:54,858,0
2025-06-01 19:14:54,853,0
2025-06-01 19:14:55,856,0
2025-06-01 19:14:55,831,0
2025-06-01 19:14:55,838,0
2025-06-01 19:14:55,837,0
2025-06-01 19:14:55,836,0
2025-06-01 19:14:56,829,0
2025-06-01 19:14:56,836,0
2025-06-01 19:14:56,831,0
2025-06-01 19:14:56,824,0
2025-06-01 19:14:57,827,0
2025-06-01 19:14:57,822,0
2025-06-01 19:14:57,808,0
2025-06-01 19:14:57,808,0
2025-06-01 19:14:57,802,0
2025-06-01 19:14:58,813,0
2025-06-01 19:14:58,813,0
2025-06-01 19:14:58,807,0
2025-06-01 19:14:58,787,0
2025-06-01 19:14:58,800,0
2025-06-01 19:14:59,787,0
2025-06-01 19:14:59,802,0
2025-06-01 19:14:59,781,0
2025-06-01 19:14:59,778,0
2025-06-01 19:15:00,785,0
2025-06-01 19:15:00,778,0
